"","variable","lambda","shift_x"
"1","bsi",0.328282828282828,0.10365188
"2","evi",0.368686868686869,0
"3","exg",0.348484848484849,0.042662479
"4","ndmi",0.328282828282828,0.268892389
"5","ndvi",0.388888888888889,0
"6","swirRatio",0.348484848484849,0
"7","tc_bright",0.348484848484849,0
"8","tc_wet",0.328282828282828,0.356778868
